mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_hidden_layer_count,param_node_count,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2.5284078121185303,0.360676815657075,0.5938874880472819,0.5006725295271202,256,3,350,"{'batch_size': 256, 'hidden_layer_count': 3, 'node_count': 350}",-0.005639479842677671,-0.00565802754103186,-0.006216499081365252,-0.005838002155024928,0.0002677448371308823,1
2.3096393744150796,0.09385233314169007,0.23850933710734049,0.026071026210234678,256,3,300,"{'batch_size': 256, 'hidden_layer_count': 3, 'node_count': 300}",-0.007366837669711421,-0.006496351596291586,-0.006867110492861708,-0.006910099919621572,0.00035667218293023367,2
2.924419641494751,0.5732200505646932,0.19732220967610678,0.004771953923257579,256,4,350,"{'batch_size': 256, 'hidden_layer_count': 4, 'node_count': 350}",-0.006695588471521452,-0.007596403050061268,-0.006761898463838242,-0.007017963328473654,0.0004099135172228656,3
3.2580889066060386,0.5236728003419377,0.2851574420928955,0.031013849359651076,256,4,300,"{'batch_size': 256, 'hidden_layer_count': 4, 'node_count': 300}",-0.008551066616542142,-0.007779799118784808,-0.007885442407321858,-0.008072102714216269,0.00034141366981190765,4
2.315626303354899,0.15763348645470854,0.24954748153686523,0.046397366118802866,256,3,200,"{'batch_size': 256, 'hidden_layer_count': 3, 'node_count': 200}",-0.010043974209874948,-0.009615974850615378,-0.010154904611985864,-0.009938284557492063,0.00023236329154770202,5
2.9018706480662027,0.34133961019549686,0.23046580950419107,0.03153778986099991,256,4,200,"{'batch_size': 256, 'hidden_layer_count': 4, 'node_count': 200}",-0.012971651702109425,-0.013270578479909138,-0.011358778099835444,-0.01253366942728467,0.0008396890408986659,6
2.6002070109049478,0.5634146545567222,0.17322532335917154,0.01116460556192445,512,3,350,"{'batch_size': 512, 'hidden_layer_count': 3, 'node_count': 350}",-0.021677559668248473,-0.02498765969463483,-0.022769722241158506,-0.0231449805346806,0.0013771479311276088,7
2.6952086289723716,0.23747338660038853,0.19950970013936362,0.03011687551948909,512,4,350,"{'batch_size': 512, 'hidden_layer_count': 4, 'node_count': 350}",-0.025267807368413754,-0.02597123092680611,-0.023581466991825662,-0.024940168429015173,0.0010027473500973801,8
2.174715836842855,0.13640441480658627,0.18166542053222656,0.023992615925267816,512,3,300,"{'batch_size': 512, 'hidden_layer_count': 3, 'node_count': 300}",-0.026152619353510157,-0.02933576510647091,-0.025871393292442816,-0.027119925917474627,0.0015710356473729134,9
2.5228381951649985,0.21579356537780067,0.1922624111175537,0.03282034450794256,512,4,300,"{'batch_size': 512, 'hidden_layer_count': 4, 'node_count': 300}",-0.028226945939582245,-0.03291698486078238,-0.03340084555853329,-0.03151492545296597,0.002333329131524356,10
2.2455203533172607,0.26765296268188565,0.19983792304992676,0.07042333823886128,512,3,200,"{'batch_size': 512, 'hidden_layer_count': 3, 'node_count': 200}",-0.03357814757933513,-0.034783248301072496,-0.03752832668215246,-0.03529657418752003,0.0016529985552235144,11
2.671269496281942,0.4340045021809793,0.16420888900756836,0.003368606578506457,512,4,200,"{'batch_size': 512, 'hidden_layer_count': 4, 'node_count': 200}",-0.06127627516412084,-0.054105487974228844,-0.05261759872615467,-0.055999787288168124,0.0037801628564953587,12
2.4652623335520425,0.18977762835586734,0.15855717658996582,0.015942447492983073,1024,4,350,"{'batch_size': 1024, 'hidden_layer_count': 4, 'node_count': 350}",-0.09557791380233448,-0.07693780428039192,-0.08707308496266214,-0.08652960101512952,0.007619490440023868,13
2.1743534406026206,0.11250179717704993,0.1543449560801188,0.019893166099247194,1024,3,350,"{'batch_size': 1024, 'hidden_layer_count': 3, 'node_count': 350}",-0.10046738041855732,-0.08845946843123774,-0.09269716064905444,-0.09387466983294983,0.0049724161452572085,14
2.6815503438313804,0.8769526626150801,0.14428059260050455,0.007665156344994931,1024,3,300,"{'batch_size': 1024, 'hidden_layer_count': 3, 'node_count': 300}",-0.09047681999334121,-0.09203846322532301,-0.11159580191802432,-0.09803702837889618,0.00960867445974451,15
2.41151754061381,0.12680441868311054,0.17768216133117676,0.041278603241012325,1024,4,300,"{'batch_size': 1024, 'hidden_layer_count': 4, 'node_count': 300}",-0.10040738327404225,-0.10987040308274477,-0.146147787797527,-0.11880852471810466,0.019714016422660168,16
2.604503552118937,0.3836030565102623,0.16921297709147134,0.016144384659104855,1024,4,200,"{'batch_size': 1024, 'hidden_layer_count': 4, 'node_count': 200}",-0.1333151661424993,-0.1620973285164674,-0.13418517706131958,-0.1431992239067621,0.01336769733672035,17
2.753978649775187,0.8101434299869149,0.15688713391621908,0.03435382813018482,1024,3,200,"{'batch_size': 1024, 'hidden_layer_count': 3, 'node_count': 200}",-0.16817992464674494,-0.13810721823994027,-0.1408386148759494,-0.14904191925421154,0.013578477325023815,18
