mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_dropout_rate,param_hidden_layer_count,param_node_count,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
5.398879686991374,1.0512267786095413,0.6632640361785889,0.10376948534456638,256,0.0,4,400,"{'batch_size': 256, 'dropout_rate': 0.0, 'hidden_layer_count': 4, 'node_count': 400}",-0.019004610595350586,-0.010744618523540726,-0.012826826606393301,-0.01419201857509487,0.003507580276120647,1
3.7850023905436196,0.08205091351502868,0.4579743544260661,0.01602702060069694,256,0.0,3,300,"{'batch_size': 256, 'dropout_rate': 0.0, 'hidden_layer_count': 3, 'node_count': 300}",-0.021847893155460287,-0.008641032072495513,-0.014854784831620726,-0.015114570019858843,0.005394806834614397,2
5.098756710688273,1.3089346828049637,0.6104639371236166,0.11993829572255822,256,0.0,4,350,"{'batch_size': 256, 'dropout_rate': 0.0, 'hidden_layer_count': 4, 'node_count': 350}",-0.00883833048287781,-0.03476076415869515,-0.00934567756120889,-0.01764825740092728,0.012102142122105516,3
4.421760241190593,0.3744719325038595,0.6942827701568604,0.11867848119595988,256,0.2,4,300,"{'batch_size': 256, 'dropout_rate': 0.2, 'hidden_layer_count': 4, 'node_count': 300}",-0.020506285106582978,-0.020179890003310032,-0.029219973971087977,-0.02330204969366033,0.004186725391511111,4
4.354258060455322,0.2346913819662065,0.6956514517466227,0.15549303130124456,256,0.1,3,350,"{'batch_size': 256, 'dropout_rate': 0.1, 'hidden_layer_count': 3, 'node_count': 350}",-0.0226803724017055,-0.014925100845292,-0.034047261443064976,-0.02388424489668749,0.007852865218924277,5
5.001475254694621,1.255269596140107,0.5906473795572916,0.13686243601932976,256,0.1,4,300,"{'batch_size': 256, 'dropout_rate': 0.1, 'hidden_layer_count': 4, 'node_count': 300}",-0.028335362226726862,-0.03443683070645033,-0.013004016883471147,-0.025258736605549448,0.009016303603372647,6
3.574660062789917,0.43174911025452634,0.5917372703552246,0.1933794101484755,512,0.0,3,350,"{'batch_size': 512, 'dropout_rate': 0.0, 'hidden_layer_count': 3, 'node_count': 350}",-0.030143977059033777,-0.02448427962240977,-0.03922923824835427,-0.031285831643265934,0.006073512171105654,7
3.9698355992635093,0.548269646451589,0.5683178106943766,0.16000758533057996,512,0.0,3,400,"{'batch_size': 512, 'dropout_rate': 0.0, 'hidden_layer_count': 3, 'node_count': 400}",-0.03502636078736216,-0.03263249742513687,-0.033199511068050726,-0.033619456426849915,0.0010214078609233055,8
6.635119517644246,0.8801252905043745,0.7264578342437744,0.0909066148409002,256,0.1,4,350,"{'batch_size': 256, 'dropout_rate': 0.1, 'hidden_layer_count': 4, 'node_count': 350}",-0.03677031195572429,-0.047078504500196065,-0.024331295255030104,-0.036060037236983485,0.009300080635596758,9
3.879469712575277,0.5620812103291594,0.45113452275594074,0.02022604475407673,512,0.1,3,350,"{'batch_size': 512, 'dropout_rate': 0.1, 'hidden_layer_count': 3, 'node_count': 350}",-0.03514289091221136,-0.031120309628370025,-0.04229681936127137,-0.03618667330061758,0.004622099357663492,10
4.092046499252319,0.47249010463441043,0.5551909605662028,0.16582982105604593,512,0.2,3,400,"{'batch_size': 512, 'dropout_rate': 0.2, 'hidden_layer_count': 3, 'node_count': 400}",-0.03879391774978623,-0.035472507563717066,-0.03496389431301157,-0.036410106542171625,0.0016983499374118131,11
4.862831672032674,1.4204943201104283,0.44611310958862305,0.06999146535326066,256,0.2,4,200,"{'batch_size': 256, 'dropout_rate': 0.2, 'hidden_layer_count': 4, 'node_count': 200}",-0.04116791481932971,-0.04207428632636237,-0.027356799435454188,-0.03686633352704876,0.006734429265923463,12
21.345710198084515,24.339003258837163,0.7670372327168783,0.01757615811813135,256,0.0,3,350,"{'batch_size': 256, 'dropout_rate': 0.0, 'hidden_layer_count': 3, 'node_count': 350}",-0.010219302197900968,-0.014823456965130894,-0.08679122766046196,-0.03727799560783127,0.0350615617783292,13
6.9155433177948,0.58546876597601,1.0382180213928223,0.3540730102754883,512,0.1,4,400,"{'batch_size': 512, 'dropout_rate': 0.1, 'hidden_layer_count': 4, 'node_count': 400}",-0.03377258705433208,-0.039925068937013156,-0.040443737766971355,-0.0380471312527722,0.003029967042406688,14
2.7628697554270425,0.006904661285615821,0.38022692998250324,0.05635028830208996,256,0.2,3,200,"{'batch_size': 256, 'dropout_rate': 0.2, 'hidden_layer_count': 3, 'node_count': 200}",-0.048960532082490245,-0.029046715510629605,-0.03920550472243542,-0.03907091743851842,0.00813033857094,15
7.91657026608785,3.2818002413134435,0.6874685287475586,0.1004493182152971,256,0.2,4,400,"{'batch_size': 256, 'dropout_rate': 0.2, 'hidden_layer_count': 4, 'node_count': 400}",-0.02905368894704029,-0.053349364035364874,-0.035288890876736624,-0.03923064795304726,0.010302848914607476,16
3.7699735164642334,0.5281140993450741,0.42073432604471844,0.027932128015692913,512,0.2,3,350,"{'batch_size': 512, 'dropout_rate': 0.2, 'hidden_layer_count': 3, 'node_count': 350}",-0.04065111070392232,-0.03828763188111213,-0.03969248925497395,-0.039543743946669464,0.0009706018447420505,17
6.710340261459351,0.45414905787072785,0.6339207490285238,0.1155500670301017,512,0.2,4,400,"{'batch_size': 512, 'dropout_rate': 0.2, 'hidden_layer_count': 4, 'node_count': 400}",-0.04446058624975489,-0.038992088339795034,-0.03759901928058311,-0.040350564623377674,0.0029613475173643137,18
